datetime,val
2020-12-01 0:00,238
2020-12-01 1:00,145
2020-12-01 2:00,76
2020-12-01 3:00,235
2020-12-01 4:00,71
2020-12-01 5:00,42
2020-12-01 6:00,36
2020-12-01 7:00,38
2020-12-01 8:00,333
2020-12-01 9:00,494
2020-12-01 10:00,306
2020-12-01 11:00,240
2020-12-01 12:00,327
2020-12-01 13:00,375
2020-12-01 14:00,395
2020-12-01 15:00,235
2020-12-01 16:00,266
2020-12-01 17:00,316
2020-12-01 18:00,131
2020-12-01 19:00,257
2020-12-01 20:00,186
2020-12-01 21:00,425
2020-12-01 22:00,699
2020-12-01 23:00,262
2020-12-02 0:00,163
2020-12-02 1:00,300
2020-12-02 2:00,272
2020-12-02 3:00,213
2020-12-02 4:00,111
2020-12-02 5:00,50
2020-12-02 6:00,55
2020-12-02 7:00,68
2020-12-02 8:00,330
2020-12-02 9:00,312
2020-12-02 10:00,325
2020-12-02 11:00,417
2020-12-02 12:00,412
2020-12-02 13:00,516
2020-12-02 14:00,290
2020-12-02 15:00,191
2020-12-02 16:00,193
2020-12-02 17:00,138
2020-12-02 18:00,115
2020-12-02 19:00,272
2020-12-02 20:00,412
2020-12-02 21:00,395
2020-12-02 22:00,701
2020-12-02 23:00,188
2020-12-03 0:00,165
2020-12-03 1:00,172
2020-12-03 2:00,147
2020-12-03 3:00,67
2020-12-03 4:00,54
2020-12-03 5:00,48
2020-12-03 6:00,53
2020-12-03 7:00,97
2020-12-03 8:00,268
2020-12-03 9:00,574
2020-12-03 10:00,483
2020-12-03 11:00,353
2020-12-03 12:00,258
2020-12-03 13:00,453
2020-12-03 14:00,323
2020-12-03 15:00,171
2020-12-03 16:00,221
2020-12-03 17:00,142
2020-12-03 18:00,160
2020-12-03 19:00,187
2020-12-03 20:00,555
2020-12-03 21:00,426
2020-12-03 22:00,476
2020-12-03 23:00,254
2020-12-04 0:00,276
2020-12-04 1:00,169
2020-12-04 2:00,126
2020-12-04 3:00,77
2020-12-04 4:00,54
2020-12-04 5:00,55
2020-12-04 6:00,40
2020-12-04 7:00,115
2020-12-04 8:00,229
2020-12-04 9:00,522
2020-12-04 10:00,448
2020-12-04 11:00,395
2020-12-04 12:00,206
2020-12-04 13:00,302
2020-12-04 14:00,287
2020-12-04 15:00,169
2020-12-04 16:00,279
2020-12-04 17:00,244
2020-12-04 18:00,274
2020-12-04 19:00,359
2020-12-04 20:00,456
2020-12-04 21:00,265
2020-12-04 22:00,431
2020-12-04 23:00,149
2020-12-05 0:00,150
2020-12-05 1:00,184
2020-12-05 2:00,141
2020-12-05 3:00,119
